127.0.0.1 - - [04/Dec/2019:23:23:20 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:23:22 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:23:22 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:23:22 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:23:22 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 69081
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:24 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:24 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:24 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:24 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:49 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:49 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:49 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:27:49 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:28:09 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [04/Dec/2019:23:28:09 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 200 88
