127.0.0.1 - - [11/Dec/2019:14:07:00 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 1929
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/image/logo.png HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/css/register.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/css/register_head.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:07:01 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:16 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:16 +0800] "GET /hotelReservation/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:16 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:17 +0800] "GET /hotelReservation/css/register_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:17 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:17 +0800] "GET /hotelReservation/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:08:17 +0800] "GET /hotelReservation/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:09:45 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:09:45 +0800] "GET /hotelReservation/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:09:45 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:09:45 +0800] "GET /hotelReservation/css/register_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:14:09:45 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 304 -
