0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:01:56 +0800] "GET /hotelReservation/css/main.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:01:56 +0800] "GET /hotelReservation/css/nav.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:01:56 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:01:56 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:00 +0800] "POST /hotelReservation/Main_Search HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:00 +0800] "GET /hotelReservation/css/result.css HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:01 +0800] "GET /hotelReservation/jsp/booking.jsp?hotelid=4 HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:01 +0800] "GET /hotelReservation/css/booking.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:12 +0800] "POST /hotelReservation/Booking HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:14 +0800] "GET /hotelReservation/jsp/order.jsp HTTP/1.1" 200 5240
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:14 +0800] "GET /hotelReservation/css/order.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:02:52 +0800] "POST /hotelReservation/Cancel HTTP/1.1" 200 5181
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:00 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:00 +0800] "GET /hotelReservation/css/my.css HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:00 +0800] "GET /hotelReservation/image/user_pic.png HTTP/1.1" 200 44329
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:04 +0800] "GET /hotelReservation/jsp/my_message.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:04 +0800] "GET /hotelReservation/css/my_message.css HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:06 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:06 +0800] "GET /hotelReservation/jsp/my_password.jsp HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:06 +0800] "GET /hotelReservation/js/my_password.js HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:07 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:10 +0800] "GET /hotelReservation/jsp/my_message.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:12 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:14 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:18 +0800] "GET /hotelReservation/Quit HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:18 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:18 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/css/register_head.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/image/logo.png HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/css/register.css HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/image/check1.png HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/js/register.js HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:24 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:28 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:28 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:28 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:30 +0800] "POST /hotelReservation/Login HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:32 +0800] "GET /hotelReservation/jsp/register.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:44 +0800] "GET /hotelReservation/image/check2.png HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:51 +0800] "GET /hotelReservation/image/check4.png HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:03:58 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "POST /hotelReservation/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "GET /hotelReservation/css/main.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "GET /hotelReservation/css/nav.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:32 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:33 +0800] "GET /hotelReservation/Quit HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:33 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:11:58:33 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:53 +0800] "GET /hotelReservation/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:55 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:55 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:55 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:55 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:02:55 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "POST /hotelReservation/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "GET /hotelReservation/css/nav.css HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "GET /hotelReservation/css/main.css HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:42 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:50 +0800] "POST /hotelReservation/Main_Search HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:50 +0800] "GET /hotelReservation/css/result.css HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:59 +0800] "GET /hotelReservation/jsp/booking.jsp?hotelid=10 HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:09:59 +0800] "GET /hotelReservation/css/booking.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:14 +0800] "POST /hotelReservation/Booking HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:22 +0800] "POST /hotelReservation/Main_Search HTTP/1.1" 200 2435
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:23 +0800] "GET /hotelReservation/jsp/booking.jsp?hotelid=2 HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:57 +0800] "GET /hotelReservation/jsp/main.jsp HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:59 +0800] "GET /hotelReservation/jsp/order.jsp HTTP/1.1" 200 5908
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:10:59 +0800] "GET /hotelReservation/css/order.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:10 +0800] "POST /hotelReservation/Cancel HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [26/Dec/2019:12:11:15 +0800] "GET /hotelReservation/jsp/my.jsp HTTP/1.1" 200 1972
