127.0.0.1 - - [21/Dec/2019:19:24:15 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:17 +0800] "GET /hotelReservation/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /hotelReservation/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /hotelReservation/js/login.js HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /hotelReservation/css/login.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:18 +0800] "GET /hotelReservation/image/login_pic.jpg HTTP/1.1" 200 141905
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:53 +0800] "GET /hotelReservation/jsp/forget.jsp HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:53 +0800] "GET /hotelReservation/css/forget_header.css HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:53 +0800] "GET /hotelReservation/css/forget.css HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:53 +0800] "GET /hotelReservation/image/logo.png HTTP/1.1" 200 7846
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:53 +0800] "GET /hotelReservation/js/forget.js HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [21/Dec/2019:19:24:55 +0800] "GET /hotelReservation/jsp/login.jsp HTTP/1.1" 200 1197
